Time,bitbay,bitfinex,bitstamp,cex.io,coinbase,hitbtc,itbit,kraken,okcoin,others
2017-08-01 01:00:00 UTC,2933.0,2837.33717201166,2837.38568527919,2858.5519295082,2835.95093196645,2828.309375,2824.19247619047,2860.34936972404,2931.55870813397,2802.968398822095
2017-08-01 02:00:00 UTC,,2846.48709990301,2847.81631016043,2874.7783472973,2842.37435483871,2848.07166666667,2828.40984848485,2884.39870017954,2922.27175438596,2814.0006601655155
2017-08-01 03:00:00 UTC,,2850.78677766894,2855.53009433962,2868.05646842105,2849.00048025613,2849.275,2829.96818181818,2899.90740224509,2918.47462121212,2823.501806530325
2017-08-01 04:00:00 UTC,2933.0,2862.16401468787,2864.30781725889,2879.80774864865,2865.10319561009,2854.86815068493,2839.87944444444,2910.26571937086,2933.94219178082,2833.24904472846
2017-08-01 05:00:00 UTC,2904.37428571429,2888.62258064517,2902.66948235294,2912.61707098765,2902.39123548047,2884.88879699248,2893.61014925373,2937.67933493205,2947.6726146789,2853.9669344568024
2017-08-01 06:00:00 UTC,2892.54,2864.29902522934,2884.24631103075,2907.69588275862,2887.83908763506,2876.70252173913,2860.87555555556,2920.62684794087,2941.24688622755,2851.4490722248324
2017-08-01 07:00:00 UTC,2840.0,2817.21511530979,2820.62708112875,2859.20989160105,2842.32320328541,2824.37186046512,2813.1364,2906.62034301676,2892.786,2813.2551084607203
2017-08-01 08:00:00 UTC,2807.78333333333,2746.64369340912,2709.38817953547,2769.76954949239,2766.88639540029,2758.51692857143,2702.75441860465,2832.61184101123,2823.17669435217,2747.399716865588
2017-08-01 09:00:00 UTC,2948.7464,2723.96854253112,2693.54332281809,2747.69420574468,2723.19494687134,2719.75882352941,2697.71466666667,2775.66554332875,2801.31122406639,2695.142082607465
2017-08-01 10:00:00 UTC,2845.0,2761.62118367347,2736.784147651,2813.3792448833,2762.12374071576,2761.75088235294,2733.45,2827.63097265625,2839.97809815952,2733.6533250744724
2017-08-01 11:00:00 UTC,,2761.75744512036,2756.59914378029,2814.86352523962,2798.01263827083,2760.4742,,2836.89007563546,2866.87220099668,2749.8159687658876
2017-08-01 12:00:00 UTC,2834.49,2715.60407750142,2715.07524321267,2800.4873630031,2790.59748292985,2716.11696696697,,2783.08636713093,2768.15710245463,2718.516965530755
2017-08-01 13:00:00 UTC,,2688.60364109231,2701.78989255564,2750.471065625,2733.25052527258,2703.07608247423,,2698.7653589534,2721.25758687259,2698.23770953622
2017-08-01 14:00:00 UTC,,2700.00905134899,2702.38410369068,2741.29065544042,2756.56080845771,2694.31717241379,,2678.54447066167,2719.58274590164,2678.2003601624147
2017-08-01 15:00:00 UTC,,2693.88660346248,2684.90576363638,2743.11962090396,2759.29791218638,2691.06989583333,2709.20826086957,2689.63463535912,2720.71321428571,2672.12766566907
2017-08-01 16:00:00 UTC,,2687.93724842297,2677.46139726027,2745.03220285714,2762.23114035088,2683.5123125,2718.141,2683.42264502924,2717.90138888889,2654.235505172625
2017-08-01 17:00:00 UTC,2799.99,2726.24504175365,2723.77448377581,2783.55738155738,2780.14155731795,2723.64189473684,2733.81166666667,2724.14612856346,2771.23431818182,2705.6021628214253
2017-08-01 18:00:00 UTC,2823.896,2750.5315286624,2745.24983065954,2799.11592110726,2784.92075819672,2746.2411,2759.64117647059,2747.54947459585,2782.21822916667,2703.70827842088
2017-08-01 19:00:00 UTC,,2752.54579533942,2753.56611048477,2782.24074162896,2766.44047729024,2746.47658333333,2749.84318181818,2756.24149350649,2754.5038,2708.24719088468
2017-08-01 20:00:00 UTC,,2755.27213309566,2754.56466176471,2792.18221419355,2763.43268742791,2752.85341880342,2755.64285714286,2764.03199397591,2761.816,2719.3709991145224
2017-08-01 21:00:00 UTC,,2733.57570996979,2729.53153571429,2767.97510680272,2734.98597297298,2729.93166666667,2733.59875,2731.81217039322,2736.527375,2700.502874099635
2017-08-01 22:00:00 UTC,,2727.87190476191,2715.35109452736,2759.35444756098,2723.40635496182,2724.05393548387,2724.29666666667,2726.60291260351,2733.14543209877,2624.5245390371174
2017-08-01 23:00:00 UTC,2780.0,2722.57589743589,2714.59190380761,2761.51578515625,2724.29743914314,2721.15173652695,2725.06347826087,2716.58978277154,2747.6715625,2687.785605215305
2017-08-02 00:00:00 UTC,2780.0,2714.58446909667,2708.69151187905,2770.29911627907,2717.95421686746,2714.34274336283,2712.48875,2718.08292524917,2734.52290909091,2681.5460911838572
2017-08-02 01:00:00 UTC,,2707.58025210085,2707.45325740319,2758.71973146067,2710.93771345875,2708.15050724638,2710.927,2706.82590909091,2724.79534615385,2675.3117914732047
2017-08-02 02:00:00 UTC,2844.895,2737.67763466043,2739.68548148148,2770.28090326087,2739.79498540147,2742.54088785047,2741.90076923077,2739.19283248731,2752.27593406593,2693.2872971767274
2017-08-02 03:00:00 UTC,2844.9,2731.74174228675,2734.69916363636,2776.78802941176,2733.91890365449,2734.15300613497,2737.706,2729.82295882353,2755.51933333333,2693.293953326095
2017-08-02 04:00:00 UTC,,2735.71335952848,2733.22921171171,2778.55423888889,2734.87984871405,2732.70273291926,2737.33882352941,2732.16097426471,2753.80444444444,2697.2541257137527
2017-08-02 05:00:00 UTC,,2748.36483146068,2743.1137745098,2785.05347741935,2748.93582661291,2744.08767295598,2746.0372,2747.00483660715,2765.80627906977,2705.37502351071
2017-08-02 06:00:00 UTC,2844.0,2739.82892416226,2737.6736416185,2783.62502571429,2739.77069148936,2734.32094202899,2741.58,2741.33218026317,2758.81259259259,2704.513950274588
2017-08-02 07:00:00 UTC,,2723.83703319501,2722.96687640449,2779.92465,2729.25886304909,2725.33290322581,2731.37967741935,2729.51971891192,2755.94266666667,2695.9247018980122
2017-08-02 08:00:00 UTC,2781.0,2716.05885769603,2717.48925,2769.39568604651,2717.38795366796,2712.63505617977,2718.30666666667,2715.01018018016,2736.45631578947,2686.0880099955402
2017-08-02 09:00:00 UTC,2840.0,2723.59622960043,2724.72771764706,2774.16870693069,2725.8499155227,2721.82645962733,2729.75357142857,2724.70375165563,2754.90322033898,2690.7597174427574
2017-08-02 10:00:00 UTC,,2721.45416141236,2720.65985871271,2774.46439104478,2722.45894478527,2716.86919191919,2725.31666666667,2720.1038841591,2758.920625,2695.8669496570747
2017-08-02 11:00:00 UTC,2839.0,2732.44563913243,2734.00024475525,2777.34932013201,2729.47847804879,2725.51184079602,2736.72918918919,2720.17964400378,2769.66488946684,2704.4980953053073
2017-08-02 12:00:00 UTC,,2746.22482181595,2748.73082706767,2791.06186163265,2747.52226988383,2740.408,2749.01931818182,2737.78034225622,2790.68569573284,2718.458584578185
2017-08-02 13:00:00 UTC,2789.0,2694.5355954466,2694.94063440157,2765.26380209424,2698.77918111755,2695.94243713734,2699.4332,2696.73478516128,2765.90701456311,2686.9599489708976
2017-08-02 14:00:00 UTC,2790.66666666667,2689.83699292891,2691.71075070821,2758.56999157895,2689.13461358314,2688.20996415771,2692.95508196721,2686.08193107849,2742.96042553192,2679.90394804731
2017-08-02 15:00:00 UTC,,2696.92032667877,2697.63913247362,2769.96411878788,2696.19782152231,2700.95252173913,2700.00684931507,2700.47873895848,2748.35169565217,2682.449185149285
2017-08-02 16:00:00 UTC,,2699.8671016212,2703.0367737003,2767.84547328244,2700.31768199233,2739.11087067862,2703.23222222222,2699.04978561152,2765.91242524917,2683.62294360952
2017-08-02 17:00:00 UTC,,2708.74723774052,2710.66336719883,2774.5645950495,2709.00818095238,2790.59039087948,2713.35542168675,2712.37029804561,2774.18130000001,2690.503053182375
2017-08-02 18:00:00 UTC,2810.0,2707.29900117508,2709.59545931759,2774.59735384615,2706.70473684211,2882.09743065694,2709.07150943396,2710.97788331814,2789.78702702702,2688.578728158013
2017-08-02 19:00:00 UTC,,2702.00659217878,2706.43304511278,2769.0134175,2704.92802910053,2794.56424960506,2706.85084507042,2708.11450107296,2793.78324137931,2690.953536175925
